S.no,Filename,Start Time,End TIme,Size,Altitude,,upper_left_latitude,upper_left_longitude,upper_right_latitude,upper_right_longitude,lower_left_latitude,lower_left_longitude,lower_right_latitude,lower_right_longitude,projection,Area
1467,ch2_tmc_ncf_20220110T1154169263_d_img_d32.zip,2022-01-10T11:54:16.926Z,2022-01-10T12:09:14.749Z,2217888000,91.48,View,-76.614741,-110.014503,-76.574506,-106.874642,-57.571218,67.853818,-57.555998,66.605732,Polar stereographic,South
1468,ch2_tmc_ncf_20221117T0046153917_d_img_d32.zip,2022-11-17T00:46:15.391Z,2022-11-17T00:54:10.252Z,1173384000,107.46,View,42.942561,-64.388805,42.937704,-63.347866,67.051674,-64.425599,67.040969,-62.41504,Selenographic,Equatorial
1469,ch2_tmc_nca_20220629T0630428201_d_img_d32.zip,2022-06-29T06:30:42.820Z,2022-06-29T06:40:37.756Z,1470792000,115.48,View,-0.433069,171.811205,-0.362965,170.936752,-30.24748,171.734441,-30.182455,170.734856,Selenographic,Equatorial
1470,ch2_tmc_ncn_20221204T1053173998_d_img_d32.zip,2022-12-04T10:53:17.399Z,2022-12-04T11:01:07.279Z,1161632000,117.99,View,44.842546,66.363185,44.838244,67.298794,68.723162,66.25317,68.712697,68.2829,Selenographic,Equatorial
1471,ch2_tmc_ncn_20211210T1310001462_d_img_d32.zip,2021-12-10T13:10:00.146Z,2021-12-10T13:39:16.307Z,4341536000,98.81,View,-31.137787,115.669328,-31.145544,116.412837,58.819522,116.663226,58.805469,117.92183,Selenographic,Equatorial
1472,ch2_tmc_ncn_20200724T0945157336_d_img_d18.zip,2020-07-24T09:45:15.733Z,2020-07-24T09:55:53.689Z,1577120000,112.05,View,-28.704171,103.276806,-28.726832,102.409194,-60.721165,104.774438,-60.755074,103.256848,Selenographic,Equatorial
1473,ch2_tmc_ncn_20220128T0409055907_d_img_d18.zip,2022-01-28T04:09:05.590Z,2022-01-28T04:24:07.730Z,2230256000,93.07,View,-74.654126,13.464705,-74.664392,16.09315,-59.338501,-163.481947,-59.344473,-164.686582,Selenographic,Equatorial
1474,ch2_tmc_nca_20220619T0033128648_d_img_d32.zip,2022-06-19T00:33:12.864Z,2022-06-19T00:46:18.270Z,1941664000,100.98,View,3.174844,-54.416716,3.173503,-53.637156,-36.77492,-54.422802,-36.775569,-53.492625,Selenographic,Equatorial
1475,ch2_tmc_ncn_20220611T1728003709_d_img_d32.zip,2022-06-11T17:28:00.370Z,2022-06-11T17:42:54.441Z,2210288000,111.43,View,11.66538,41.790359,11.66943,42.539951,-33.353176,41.753592,-33.348725,42.64416,Selenographic,Equatorial
1476,ch2_tmc_ncf_20191130T0733339261_d_img_d18.zip,2019-11-30T07:33:33.926Z,2019-11-30T07:43:02.372Z,1405304000,89.83,View,-1.481999,168.258401,-1.478014,168.853131,27.795834,168.220508,27.799594,168.953752,Selenographic,Equatorial
1477,ch2_tmc_ncn_20220803T0532523437_d_img_d18.zip,2022-08-03T05:32:52.343Z,2022-08-03T05:34:58.807Z,312648000,137.11,View,10.930479,70.23388,10.91958,69.311137,4.708254,70.27193,4.696005,69.362126,Selenographic,Equatorial
1478,ch2_tmc_ncf_20220131T0053488453_d_img_d18.zip,2022-01-31T00:53:48.845Z,2022-01-31T01:07:50.103Z,2079744000,87.57,View,-76.010811,-24.518725,-76.017114,-21.623242,-60.824868,158.281892,-60.829447,156.968961,Selenographic,Equatorial
